SampleID;Index;Sample_Type;OlinkID;UniProt;Assay;MissingFreq;Panel;Panel_Version;PlateID;QC_Warning;LOD;NPX;Normalization
Sample Control1;4;CONTROL;OID00471;P10145;IL8;0;Inflammation;v.3023;1362718174.csv;Pass;-0.22314999999999999;1.8993100000000001;IPC Normalized
Sample Control1;4;CONTROL;OID00472;P15692;VEGFA;0;Inflammation;v.3023;1362718174.csv;Pass;-0.13453000000000001;8.8770799999999994;IPC Normalized
Sample Control1;4;CONTROL;OID05124;P01732;CD8A;0;Inflammation;v.3023;1362718174.csv;Pass;-0.32339000000000001;8.9504999999999999;IPC Normalized
Sample Control1;4;CONTROL;OID00474;P80098;MCP-3;0.46875;Inflammation;v.3023;1362718174.csv;Pass;0.20487;0.11158999999999999;IPC Normalized
Sample Control1;4;CONTROL;OID00475;P39905;GDNF;0;Inflammation;v.3023;1362718174.csv;Pass;0.60750999999999999;1.0460499999999999;IPC Normalized
Sample Control1;4;CONTROL;OID00476;Q9H5V8;CDCP1;0;Inflammation;v.3023;1362718174.csv;Pass;-1.6993400000000001;0.32874999999999999;IPC Normalized
Sample Control1;4;CONTROL;OID00477;Q9BZW8;CD244;0;Inflammation;v.3023;1362718174.csv;Pass;1.17116;5.2419099999999998;IPC Normalized
Sample Control1;4;CONTROL;OID00478;P13232;IL7;0;Inflammation;v.3023;1362718174.csv;Pass;0.49198999999999998;1.1349499999999999;IPC Normalized
Sample Control1;4;CONTROL;OID00479;O00300;OPG;0;Inflammation;v.3023;1362718174.csv;Pass;-0.36771999999999999;9.2381499999999992;IPC Normalized
Sample Control1;4;CONTROL;OID00480;P01137;LAP TGF-beta-1;0;Inflammation;v.3023;1362718174.csv;Pass;0.13883999999999999;5.5297900000000002;IPC Normalized
Sample Control1;4;CONTROL;OID00481;P00749;uPA;0;Inflammation;v.3023;1362718174.csv;Pass;0.45122000000000001;9.3702799999999993;IPC Normalized
Sample Control1;4;CONTROL;OID00482;P05231;IL6;0;Inflammation;v.3023;1362718174.csv;Pass;1.38504;1.5403100000000001;IPC Normalized
Sample Control1;4;CONTROL;OID00483;Q9P0M4;IL-17C;0;Inflammation;v.3023;1362718174.csv;Pass;0.76532;1.8483099999999999;IPC Normalized
Sample Control1;4;CONTROL;OID00484;P13500;MCP-1;0;Inflammation;v.3023;1362718174.csv;Pass;0.59448999999999996;10.95398;IPC Normalized
Sample Control1;4;CONTROL;OID00485;Q16552;IL-17A;0.21875;Inflammation;v.3023;1362718174.csv;Pass;1.59036;2.2945500000000001;IPC Normalized
Sample Control1;4;CONTROL;OID00486;O14625;CXCL11;0;Inflammation;v.3023;1362718174.csv;Pass;0.34525;6.3060200000000002;IPC Normalized
Sample Control1;4;CONTROL;OID00487;O15169;AXIN1;0;Inflammation;v.3023;1362718174.csv;Pass;-0.36235000000000001;3.7184900000000001;IPC Normalized
Sample Control1;4;CONTROL;OID00488;P50591;TRAIL;0;Inflammation;v.3023;1362718174.csv;Pass;-0.84589999999999999;6.4229500000000002;IPC Normalized
Sample Control1;4;CONTROL;OID00489;Q9UHF4;IL-20RA;9.375E-2;Inflammation;v.3023;1362718174.csv;Pass;1.2404999999999999;1.13422;IPC Normalized
Sample Control1;4;CONTROL;OID00490;Q07325;CXCL9;0;Inflammation;v.3023;1362718174.csv;Pass;0.61585999999999996;5.4960100000000001;IPC Normalized
Sample Control1;4;CONTROL;OID00491;P28325;CST5;0;Inflammation;v.3023;1362718174.csv;Pass;0.33563999999999999;5.1441299999999996;IPC Normalized
Sample Control1;4;CONTROL;OID00492;P14784;IL-2RB;0.96875;Inflammation;v.3023;1362718174.csv;Pass;1.63581;1.13611;IPC Normalized
Sample Control1;4;CONTROL;OID00493;P01583;IL-1 alpha;0.875;Inflammation;v.3023;1362718174.csv;Pass;-1.589;-2.4803700000000002;IPC Normalized
Sample Control1;4;CONTROL;OID00494;P13725;OSM;0;Inflammation;v.3023;1362718174.csv;Pass;-0.31086000000000003;1.8229200000000001;IPC Normalized
Sample Control1;4;CONTROL;OID00495;P60568;IL2;1;Inflammation;v.3023;1362718174.csv;Pass;1.13513;0.73458000000000001;IPC Normalized
Sample Control1;4;CONTROL;OID00496;P09341;CXCL1;0;Inflammation;v.3023;1362718174.csv;Pass;1.6355999999999999;8.1789900000000006;IPC Normalized
Sample Control1;4;CONTROL;OID00497;Q969D9;TSLP;0.59375;Inflammation;v.3023;1362718174.csv;Pass;1.47404;1.18222;IPC Normalized
Sample Control1;4;CONTROL;OID00498;P13236;CCL4;0;Inflammation;v.3023;1362718174.csv;Pass;0.11881;4.9477799999999998;IPC Normalized
Sample Control1;4;CONTROL;OID00499;P30203;CD6;0;Inflammation;v.3023;1362718174.csv;Pass;0.17135;4.8813000000000004;IPC Normalized
Sample Control1;4;CONTROL;OID00500;P21583;SCF;0;Inflammation;v.3023;1362718174.csv;Pass;1.0278499999999999;9.1361600000000003;IPC Normalized
Sample Control1;4;CONTROL;OID00501;Q14116;IL18;0;Inflammation;v.3023;1362718174.csv;Pass;0.22917999999999999;7.5207100000000002;IPC Normalized
Sample Control1;4;CONTROL;OID00502;Q13291;SLAMF1;0.3125;Inflammation;v.3023;1362718174.csv;Pass;1.0958300000000001;1.4110100000000001;IPC Normalized
Sample Control1;4;CONTROL;OID00503;P01135;TGF-alpha;0;Inflammation;v.3023;1362718174.csv;Pass;-0.81445000000000001;1.0843700000000001;IPC Normalized
Sample Control1;4;CONTROL;OID00504;Q99616;MCP-4;0;Inflammation;v.3023;1362718174.csv;Pass;0.68388000000000004;12.38208;IPC Normalized
Sample Control1;4;CONTROL;OID00505;P51671;CCL11;0;Inflammation;v.3023;1362718174.csv;Pass;0.30747000000000002;7.3086000000000002;IPC Normalized
Sample Control1;4;CONTROL;OID00506;O43557;TNFSF14;0;Inflammation;v.3023;1362718174.csv;Pass;0.41994999999999999;2.5885600000000002;IPC Normalized
Sample Control1;4;CONTROL;OID00507;Q9GZV9;FGF-23;0;Inflammation;v.3023;1362718174.csv;Pass;-1.63558;-0.41446;IPC Normalized
Sample Control1;4;CONTROL;OID00508;Q13651;IL-10RA;0.21875;Inflammation;v.3023;1362718174.csv;Pass;0.32150000000000001;0.58860999999999997;IPC Normalized
Sample Control1;4;CONTROL;OID00509;P12034;FGF-5;0;Inflammation;v.3023;1362718174.csv;Pass;0.14621000000000001;0.91512000000000004;IPC Normalized
Sample Control1;4;CONTROL;OID00510;P03956;MMP-1;0;Inflammation;v.3023;1362718174.csv;Pass;0.64095999999999997;10.2979;IPC Normalized
Sample Control1;4;CONTROL;OID00511;P42702;LIF-R;0;Inflammation;v.3023;1362718174.csv;Pass;0.35558000000000001;2.58168;IPC Normalized
Sample Control1;4;CONTROL;OID00512;Q9NSA1;FGF-21;0;Inflammation;v.3023;1362718174.csv;Pass;-0.16578000000000001;3.0148700000000002;IPC Normalized
Sample Control1;4;CONTROL;OID00513;Q99731;CCL19;0;Inflammation;v.3023;1362718174.csv;Pass;0.47216999999999998;6.5719500000000002;IPC Normalized
Sample Control1;4;CONTROL;OID00514;Q13261;IL-15RA;0;Inflammation;v.3023;1362718174.csv;Pass;-0.31757000000000002;0.96499000000000001;IPC Normalized
Sample Control1;4;CONTROL;OID00515;Q08334;IL-10RB;0;Inflammation;v.3023;1362718174.csv;Pass;0.44163000000000002;5.7063899999999999;IPC Normalized
Sample Control1;4;CONTROL;OID00516;Q8N6P7;IL-22 RA1;0.8125;Inflammation;v.3023;1362718174.csv;Pass;1.6571499999999999;1.28677;IPC Normalized
Sample Control1;4;CONTROL;OID00517;Q13478;IL-18R1;0;Inflammation;v.3023;1362718174.csv;Pass;0.38468999999999998;7.4458799999999998;IPC Normalized
Sample Control1;4;CONTROL;OID00518;Q9NZQ7;PD-L1;0;Inflammation;v.3023;1362718174.csv;Pass;1.75787;4.3758600000000003;IPC Normalized
Sample Control1;4;CONTROL;OID00519;P01138;Beta-NGF;1;Inflammation;v.3023;1362718174.csv;Pass;-0.74827999999999995;-1.0841400000000001;IPC Normalized
Sample Control1;4;CONTROL;OID00520;P42830;CXCL5;0;Inflammation;v.3023;1362718174.csv;Pass;0.26583000000000001;7.6023800000000001;IPC Normalized
Sample Control1;4;CONTROL;OID00521;O14788;TRANCE;0;Inflammation;v.3023;1362718174.csv;Pass;0.19420000000000001;2.95784;IPC Normalized
Sample Control1;4;CONTROL;OID00522;P14210;HGF;0;Inflammation;v.3023;1362718174.csv;Pass;0.73489000000000004;7.6025600000000004;IPC Normalized
Sample Control1;4;CONTROL;OID00523;P29460;IL-12B;0;Inflammation;v.3023;1362718174.csv;Pass;0.50287999999999999;6.2766000000000002;IPC Normalized
Sample Control1;4;CONTROL;OID00524;Q13007;IL-24;0.71875;Inflammation;v.3023;1362718174.csv;Pass;1.81105;1.7577199999999999;IPC Normalized
Sample Control1;4;CONTROL;OID00525;P35225;IL13;0.875;Inflammation;v.3023;1362718174.csv;Pass;0.84941999999999995;0.1459;IPC Normalized
Sample Control1;4;CONTROL;OID00526;Q5T4W7;ARTN;3.125E-2;Inflammation;v.3023;1362718174.csv;Pass;0.57828000000000002;0.51143000000000005;IPC Normalized
Sample Control1;4;CONTROL;OID00527;P09238;MMP-10;0;Inflammation;v.3023;1362718174.csv;Pass;0.51959;7.6352900000000004;IPC Normalized
Sample Control1;4;CONTROL;OID00528;P22301;IL10;0;Inflammation;v.3023;1362718174.csv;Pass;1.16238;2.81515;IPC Normalized
Sample Control1;4;CONTROL;OID05548;P01375;TNF;0;Inflammation;v.3023;1362718174.csv;Pass;0.23355000000000001;2.3972099999999998;IPC Normalized
Sample Control1;4;CONTROL;OID00530;P55773;CCL23;0;Inflammation;v.3023;1362718174.csv;Pass;0.28276000000000001;8.9928799999999995;IPC Normalized
Sample Control1;4;CONTROL;OID00531;P06127;CD5;0;Inflammation;v.3023;1362718174.csv;Pass;3.7010000000000001E-2;5.1172399999999998;IPC Normalized
Sample Control1;4;CONTROL;OID00532;P10147;CCL3;0;Inflammation;v.3023;1362718174.csv;Pass;-3.092E-2;4.1930399999999999;IPC Normalized
Sample Control1;4;CONTROL;OID00533;P49771;Flt3L;0;Inflammation;v.3023;1362718174.csv;Pass;0.85358000000000001;7.2700800000000001;IPC Normalized
Sample Control1;4;CONTROL;OID00534;P80162;CXCL6;0;Inflammation;v.3023;1362718174.csv;Pass;1.05339;7.1984700000000004;IPC Normalized
Sample Control1;4;CONTROL;OID00535;P02778;CXCL10;0;Inflammation;v.3023;1362718174.csv;Pass;1.4291;8.4638799999999996;IPC Normalized
Sample Control1;4;CONTROL;OID00536;Q13541;4E-BP1;0;Inflammation;v.3023;1362718174.csv;Pass;-0.53564000000000001;6.3970099999999999;IPC Normalized
Sample Control1;4;CONTROL;OID00537;Q9NYY1;IL-20;0.15625;Inflammation;v.3023;1362718174.csv;Pass;0.17449000000000001;0.29792999999999997;IPC Normalized
Sample Control1;4;CONTROL;OID00538;Q8IXJ6;SIRT2;0;Inflammation;v.3023;1362718174.csv;Pass;1.3910100000000001;2.89696;IPC Normalized
Sample Control1;4;CONTROL;OID00539;Q9NRJ3;CCL28;0;Inflammation;v.3023;1362718174.csv;Pass;0.51137999999999995;1.2272799999999999;IPC Normalized
Sample Control1;4;CONTROL;OID01213;Q8NFT8;DNER;0;Inflammation;v.3023;1362718174.csv;Pass;0.37741000000000002;8.0577500000000004;IPC Normalized
Sample Control1;4;CONTROL;OID00541;P80511;EN-RAGE;0;Inflammation;v.3023;1362718174.csv;Pass;0.80910000000000004;1.4319999999999999;IPC Normalized
Sample Control1;4;CONTROL;OID00542;P25942;CD40;0;Inflammation;v.3023;1362718174.csv;Pass;1.1812800000000001;10.05861;IPC Normalized
Sample Control1;4;CONTROL;OID00543;O95760;IL33;0.96875;Inflammation;v.3023;1362718174.csv;Pass;0.41610000000000003;-0.31051000000000001;IPC Normalized
Sample Control1;4;CONTROL;OID05547;P01579;IFN-gamma;0;Inflammation;v.3023;1362718174.csv;Pass;1.12774;4.3031199999999998;IPC Normalized
Sample Control1;4;CONTROL;OID00545;O95750;FGF-19;0;Inflammation;v.3023;1362718174.csv;Pass;-0.44571;7.6493099999999998;IPC Normalized
Sample Control1;4;CONTROL;OID00546;P05112;IL4;0.84375;Inflammation;v.3023;1362718174.csv;Pass;1.50342;1.3394999999999999;IPC Normalized
Sample Control1;4;CONTROL;OID00547;P15018;LIF;0.75;Inflammation;v.3023;1362718174.csv;Pass;-0.13192999999999999;0.24867;IPC Normalized
Sample Control1;4;CONTROL;OID00548;Q99748;NRTN;0.34375;Inflammation;v.3023;1362718174.csv;Pass;0.72333000000000003;0.51136000000000004;IPC Normalized
Sample Control1;4;CONTROL;OID00549;P80075;MCP-2;0;Inflammation;v.3023;1362718174.csv;Pass;1.4094;8.4248700000000003;IPC Normalized
Sample Control1;4;CONTROL;OID00550;Q14790;CASP-8;3.125E-2;Inflammation;v.3023;1362718174.csv;Pass;0.95730999999999999;1.40246;IPC Normalized
Sample Control1;4;CONTROL;OID00551;O15444;CCL25;0;Inflammation;v.3023;1362718174.csv;Pass;-9.6259999999999998E-2;4.9215499999999999;IPC Normalized
Sample Control1;4;CONTROL;OID00552;P78423;CX3CL1;0;Inflammation;v.3023;1362718174.csv;Pass;-0.16051000000000001;2.3682599999999998;IPC Normalized
Sample Control1;4;CONTROL;OID00553;Q07011;TNFRSF9;0;Inflammation;v.3023;1362718174.csv;Pass;1.2055199999999999;4.5375500000000004;IPC Normalized
Sample Control1;4;CONTROL;OID00554;P20783;NT-3;0;Inflammation;v.3023;1362718174.csv;Pass;0.28952;2.3010899999999999;IPC Normalized
Sample Control1;4;CONTROL;OID00555;O43508;TWEAK;0;Inflammation;v.3023;1362718174.csv;Pass;-1.0427200000000001;7.95662;IPC Normalized
Sample Control1;4;CONTROL;OID00556;P78556;CCL20;0;Inflammation;v.3023;1362718174.csv;Pass;0.52571000000000001;6.1394500000000001;IPC Normalized
Sample Control1;4;CONTROL;OID00557;P50225;ST1A1;0.21875;Inflammation;v.3023;1362718174.csv;Pass;-0.1724;0.84133999999999998;IPC Normalized
Sample Control1;4;CONTROL;OID00558;O95630;STAMBP;0;Inflammation;v.3023;1362718174.csv;Pass;0.28737000000000001;3.3813900000000001;IPC Normalized
Sample Control1;4;CONTROL;OID00559;P05113;IL5;0.59375;Inflammation;v.3023;1362718174.csv;Pass;1.0183199999999999;0.83574999999999999;IPC Normalized
Sample Control1;4;CONTROL;OID00560;P00813;ADA;0;Inflammation;v.3023;1362718174.csv;Pass;0.12447;4.5480999999999998;IPC Normalized
Sample Control1;4;CONTROL;OID00561;P01374;TNFB;0;Inflammation;v.3023;1362718174.csv;Pass;0.55132999999999999;3.38822;IPC Normalized
Sample Control1;4;CONTROL;OID00562;P09603;CSF-1;0;Inflammation;v.3023;1362718174.csv;Pass;0.47355999999999998;8.58718;IPC Normalized
Sample Control2;9;CONTROL;OID00471;P10145;IL8;0;Inflammation;v.3023;1362718174.csv;Pass;-0.22314999999999999;1.9604699999999999;IPC Normalized
Sample Control2;9;CONTROL;OID00472;P15692;VEGFA;0;Inflammation;v.3023;1362718174.csv;Pass;-0.13453000000000001;8.9255200000000006;IPC Normalized
Sample Control2;9;CONTROL;OID05124;P01732;CD8A;0;Inflammation;v.3023;1362718174.csv;Pass;-0.32339000000000001;8.9534800000000008;IPC Normalized
Sample Control2;9;CONTROL;OID00474;P80098;MCP-3;0.46875;Inflammation;v.3023;1362718174.csv;Pass;0.20487;0.23508000000000001;IPC Normalized
Sample Control2;9;CONTROL;OID00475;P39905;GDNF;0;Inflammation;v.3023;1362718174.csv;Pass;0.60750999999999999;1.03285;IPC Normalized
Sample Control2;9;CONTROL;OID00476;Q9H5V8;CDCP1;0;Inflammation;v.3023;1362718174.csv;Pass;-1.6993400000000001;0.38979999999999998;IPC Normalized
Sample Control2;9;CONTROL;OID00477;Q9BZW8;CD244;0;Inflammation;v.3023;1362718174.csv;Pass;1.17116;5.2800200000000004;IPC Normalized
Sample Control2;9;CONTROL;OID00478;P13232;IL7;0;Inflammation;v.3023;1362718174.csv;Pass;0.49198999999999998;1.25512;IPC Normalized
Sample Control2;9;CONTROL;OID00479;O00300;OPG;0;Inflammation;v.3023;1362718174.csv;Pass;-0.36771999999999999;9.2281099999999991;IPC Normalized
Sample Control2;9;CONTROL;OID00480;P01137;LAP TGF-beta-1;0;Inflammation;v.3023;1362718174.csv;Pass;0.13883999999999999;5.6656199999999997;IPC Normalized
Sample Control2;9;CONTROL;OID00481;P00749;uPA;0;Inflammation;v.3023;1362718174.csv;Pass;0.45122000000000001;9.3843399999999999;IPC Normalized
Sample Control2;9;CONTROL;OID00482;P05231;IL6;0;Inflammation;v.3023;1362718174.csv;Pass;1.38504;1.6322700000000001;IPC Normalized
Sample Control2;9;CONTROL;OID00483;Q9P0M4;IL-17C;0;Inflammation;v.3023;1362718174.csv;Pass;0.76532;1.93174;IPC Normalized
Sample Control2;9;CONTROL;OID00484;P13500;MCP-1;0;Inflammation;v.3023;1362718174.csv;Pass;0.59448999999999996;10.960100000000001;IPC Normalized
Sample Control2;9;CONTROL;OID00485;Q16552;IL-17A;0.21875;Inflammation;v.3023;1362718174.csv;Pass;1.59036;1.84558;IPC Normalized
Sample Control2;9;CONTROL;OID00486;O14625;CXCL11;0;Inflammation;v.3023;1362718174.csv;Pass;0.34525;6.3614199999999999;IPC Normalized
Sample Control2;9;CONTROL;OID00487;O15169;AXIN1;0;Inflammation;v.3023;1362718174.csv;Pass;-0.36235000000000001;3.8040699999999998;IPC Normalized
Sample Control2;9;CONTROL;OID00488;P50591;TRAIL;0;Inflammation;v.3023;1362718174.csv;Pass;-0.84589999999999999;6.4303100000000004;IPC Normalized
Sample Control2;9;CONTROL;OID00489;Q9UHF4;IL-20RA;9.375E-2;Inflammation;v.3023;1362718174.csv;Pass;1.2404999999999999;1.40178;IPC Normalized
Sample Control2;9;CONTROL;OID00490;Q07325;CXCL9;0;Inflammation;v.3023;1362718174.csv;Pass;0.61585999999999996;5.5377799999999997;IPC Normalized
Sample Control2;9;CONTROL;OID00491;P28325;CST5;0;Inflammation;v.3023;1362718174.csv;Pass;0.33563999999999999;5.1736700000000004;IPC Normalized
Sample Control2;9;CONTROL;OID00492;P14784;IL-2RB;0.96875;Inflammation;v.3023;1362718174.csv;Pass;1.63581;1.32437;IPC Normalized
Sample Control2;9;CONTROL;OID00493;P01583;IL-1 alpha;0.875;Inflammation;v.3023;1362718174.csv;Pass;-1.589;-2.2030599999999998;IPC Normalized
Sample Control2;9;CONTROL;OID00494;P13725;OSM;0;Inflammation;v.3023;1362718174.csv;Pass;-0.31086000000000003;1.93933;IPC Normalized
Sample Control2;9;CONTROL;OID00495;P60568;IL2;1;Inflammation;v.3023;1362718174.csv;Pass;1.13513;0.63234000000000001;IPC Normalized
Sample Control2;9;CONTROL;OID00496;P09341;CXCL1;0;Inflammation;v.3023;1362718174.csv;Pass;1.6355999999999999;8.1880699999999997;IPC Normalized
Sample Control2;9;CONTROL;OID00497;Q969D9;TSLP;0.59375;Inflammation;v.3023;1362718174.csv;Pass;1.47404;1.1902200000000001;IPC Normalized
Sample Control2;9;CONTROL;OID00498;P13236;CCL4;0;Inflammation;v.3023;1362718174.csv;Pass;0.11881;5.0138800000000003;IPC Normalized
Sample Control2;9;CONTROL;OID00499;P30203;CD6;0;Inflammation;v.3023;1362718174.csv;Pass;0.17135;4.96007;IPC Normalized
Sample Control2;9;CONTROL;OID00500;P21583;SCF;0;Inflammation;v.3023;1362718174.csv;Pass;1.0278499999999999;9.1789100000000001;IPC Normalized
Sample Control2;9;CONTROL;OID00501;Q14116;IL18;0;Inflammation;v.3023;1362718174.csv;Pass;0.22917999999999999;7.5933400000000004;IPC Normalized
Sample Control2;9;CONTROL;OID00502;Q13291;SLAMF1;0.3125;Inflammation;v.3023;1362718174.csv;Pass;1.0958300000000001;1.49929;IPC Normalized
